Sales_ID,SKU,Warehouse_ID,Sale_Date,Quantity_Sold,Promo_Flag
SL000056,P0435,W02,2024-10-14,3,0
SL000057,P0273,W05,2024-03-06,2,0
SL000058,P0099,W02,2024-11-10,46,0
SL000059,P0252,W01,2024-04-20,26,1
SL000060,P0338,W03,2024-07-30,22,0
SL000061,P0104,W03,2024-06-19,17,0
SL000062,P0214,W05,2024-12-04,34,1
SL000063,P0249,W01,2024-12-31,15,1
SL000064,P0152,W04,2024-02-28,12,0
SL000065,P0250,W02,2024-01-30,16,0
SL000066,P0275,W04,2024-09-23,16,0
SL000067,P0165,W01,2024-06-02,39,0
SL000068,P0487,W05,2024-12-15,6,0
SL000069,P0341,W01,2024-01-02,46,0
SL000070,P0008,W05,2024-06-17,8,0
SL000071,P0284,W04,2024-08-01,25,0
SL000072,P0005,W04,2024-09-07,19,1
SL000073,P0145,W01,2024-01-31,19,0
SL000074,P0101,W01,2024-11-14,12,0
SL000075,P0164,W03,2024-07-01,9,1
SL000076,P0374,W05,2024-07-07,41,0
SL000077,P0147,W03,2024-07-31,29,0
SL000078,P0064,W02,2024-05-06,27,1
SL000079,P0091,W02,2024-10-18,5,0
SL000080,P0117,W01,2024-10-22,26,0
SL000081,P0354,W04,2024-01-23,30,0
SL000082,P0267,W02,2024-01-18,14,0
SL000083,P0310,W02,2024-03-19,33,0
SL000084,P0173,W03,2024-02-03,35,0
SL000085,P0047,W03,2024-04-16,11,0
SL000086,P0140,W02,2024-10-31,4,0
SL000087,P0246,W01,2024-07-17,33,0
SL000088,P0149,W03,2024-07-09,6,0
SL000089,P0246,W02,2024-08-19,28,0
SL000090,P0395,W04,2024-03-02,10,1
SL000091,P0487,W03,2024-02-11,36,0
SL000092,P0476,W02,2024-01-24,49,1
SL000093,P0005,W05,2024-06-11,26,0
SL000094,P0465,W03,2024-07-01,30,0
SL000095,P0184,W05,2024-11-28,22,0
SL000096,P0020,W03,2024-04-04,5,0
SL000097,P0425,W03,2024-03-23,2,0
SL000098,P0046,W05,2024-04-02,33,1
SL000099,P0012,W01,2024-10-04,16,1
SL000100,P0070,W02,2024-04-14,7,0
SL000101,P0017,W01,2024-03-25,21,0
SL000102,P0371,W01,2024-03-01,35,1
SL000103,P0147,W02,2024-07-26,46,1
SL000104,P0154,W04,2024-06-06,22,0
SL000105,P0304,W01,2024-03-09,48,1
SL000106,P0108,W01,2024-09-18,22,0
SL000107,P0236,W01,2024-12-06,6,0
SL000108,P0308,W04,2024-08-21,33,1
SL000109,P0352,W03,2024-05-18,39,0
SL000110,P0070,W05,2024-10-06,43,0
SL000111,P0183,W05,2024-11-30,25,0
SL000112,P0250,W04,2024-08-18,18,0
SL000113,P0228,W01,2024-12-31,41,0
SL000114,P0102,W05,2024-12-25,35,0
SL000115,P0075,W04,2024-02-20,24,0
SL000116,P0417,W02,2024-08-26,40,0
SL000117,P0446,W05,2024-01-19,40,0
SL000118,P0216,W02,2024-06-26,23,1
SL000119,P0407,W01,2024-07-27,33,1
SL000120,P0399,W05,2024-05-10,29,0
SL000121,P0411,W04,2024-08-18,10,0
SL000122,P0203,W03,2024-04-01,15,0
SL000123,P0192,W05,2024-01-31,10,0
SL000124,P0249,W05,2024-12-27,26,0
SL000125,P0499,W05,2024-09-05,40,0
SL000126,P0242,W05,2024-05-03,29,1
SL000127,P0465,W04,2024-05-15,34,1
SL000128,P0179,W04,2024-09-29,18,0
SL000129,P0437,W03,2024-12-20,2,0
SL000130,P0462,W04,2024-04-09,25,1
SL000131,P0219,W04,2024-08-06,21,0
SL000132,P0082,W01,2024-04-13,31,0
SL000133,P0092,W01,2024-10-27,22,0
SL000134,P0435,W02,2024-04-06,9,0
SL000135,P0175,W03,2024-11-11,27,1
SL000136,P0239,W01,2024-07-21,25,0
SL000137,P0260,W03,2024-01-21,25,0
SL000138,P0391,W03,2024-07-16,27,1
SL000139,P0365,W05,2024-04-21,10,0
SL000140,P0163,W03,2024-05-28,30,0
SL000141,P0048,W05,2024-08-30,4,0
SL000142,P0329,W02,2024-07-01,21,0
SL000143,P0328,W02,2024-10-10,30,1
SL000144,P0116,W02,2024-12-02,33,0
SL000145,P0429,W05,2024-12-03,43,1
SL000146,P0337,W05,2024-10-28,26,1
SL000147,P0337,W02,2024-10-26,2,0
SL000148,P0369,W05,2024-03-29,23,1
SL000149,P0225,W04,2024-08-09,31,0
SL000150,P0352,W04,2024-09-04,4,1
SL000151,P0328,W05,2024-06-25,47,0
SL000152,P0147,W05,2024-04-27,20,0
SL000153,P0063,W01,2024-06-22,25,0
SL000154,P0294,W01,2024-08-06,45,1
SL000155,P0323,W03,2024-08-05,1,0
SL000156,P0443,W03,2024-11-14,2,0
SL000157,P0325,W03,2024-03-17,6,0
SL000158,P0013,W02,2024-03-28,7,0
SL000159,P0431,W04,2024-03-18,4,0
SL000160,P0494,W02,2024-07-19,18,0
SL000161,P0189,W05,2024-03-04,41,0
SL000162,P0287,W01,2024-01-04,43,0
SL000163,P0208,W05,2024-03-23,5,0
SL000164,P0114,W05,2024-07-11,25,1
SL000165,P0480,W01,2024-01-06,1,0
SL000166,P0022,W05,2024-07-11,34,0
SL000167,P0349,W03,2024-08-04,3,0
SL000168,P0214,W01,2024-12-12,17,0
SL000169,P0171,W05,2024-01-22,32,0
SL000170,P0323,W03,2024-05-24,24,0
SL000171,P0054,W03,2024-10-11,2,1
SL000172,P0394,W04,2024-05-24,1,0
SL000173,P0298,W03,2024-01-02,34,1
SL000174,P0320,W02,2024-10-14,8,0
SL000175,P0126,W01,2024-12-24,45,0
SL000176,P0277,W01,2024-08-12,46,0
SL000177,P0464,W01,2024-08-01,44,0
SL000178,P0204,W05,2024-06-14,9,0
SL000179,P0194,W05,2024-05-20,28,0
SL000180,P0169,W02,2024-11-12,19,0
SL000181,P0152,W03,2024-03-04,20,0
SL000182,P0035,W05,2024-11-28,7,0
SL000183,P0184,W03,2024-07-30,42,0
SL000184,P0286,W03,2024-10-15,35,0
SL000185,P0057,W05,2024-04-07,19,0
SL000186,P0222,W05,2024-06-14,17,1
SL000187,P0303,W02,2024-05-05,40,0
SL000188,P0163,W04,2024-06-05,18,0
SL000189,P0019,W01,2024-09-06,7,0
SL000190,P0370,W05,2024-03-01,27,0
SL000191,P0264,W05,2024-02-01,39,1
SL000192,P0282,W03,2024-09-30,30,0
SL000193,P0113,W04,2024-10-27,23,1
SL000194,P0488,W05,2024-01-21,20,0
SL000195,P0327,W04,2024-01-12,23,0
SL000196,P0030,W01,2024-08-31,26,0
SL000197,P0135,W03,2024-04-12,48,0
SL000198,P0067,W02,2024-10-02,47,0
SL000199,P0065,W01,2024-01-07,14,0
SL000200,P0292,W04,2024-12-12,48,0
SL000201,P0025,W04,2024-05-09,31,0
SL000202,P0037,W01,2024-10-25,27,0
SL000203,P0001,W04,2024-04-06,9,0
SL000204,P0399,W02,2024-10-03,23,1
SL000205,P0037,W02,2024-10-11,10,0
SL000206,P0141,W04,2024-10-14,47,0
SL000207,P0232,W04,2024-06-21,23,0
SL000208,P0136,W02,2024-11-27,10,0
SL000209,P0389,W04,2024-07-23,2,0
SL000210,P0188,W05,2024-04-12,37,0
SL000211,P0128,W03,2024-04-22,40,0
SL000212,P0201,W05,2024-12-25,38,1
SL000213,P0127,W04,2024-05-10,38,1
SL000214,P0257,W04,2024-02-08,1,1
SL000215,P0164,W03,2024-11-02,48,1
SL000216,P0035,W04,2024-01-08,18,0
SL000217,P0194,W03,2024-12-31,35,1
SL000218,P0191,W02,2024-02-15,7,0
SL000219,P0104,W03,2024-07-12,44,0
SL000220,P0023,W03,2024-01-06,42,1
SL000221,P0265,W05,2024-02-27,22,0
SL000222,P0290,W04,2024-06-17,25,1
SL000223,P0430,W02,2024-05-01,42,0
SL000224,P0462,W01,2024-09-05,23,0
SL000225,P0384,W03,2024-07-25,9,0
SL000226,P0260,W01,2024-04-24,27,0
SL000227,P0414,W04,2024-08-26,11,1
SL000228,P0479,W03,2024-02-23,27,1
SL000229,P0358,W01,2024-03-16,40,0
SL000230,P0075,W05,2024-06-17,28,0
SL000231,P0355,W01,2024-02-17,18,0
SL000232,P0072,W05,2024-08-11,36,0
SL000233,P0259,W02,2024-03-10,34,0
SL000234,P0398,W04,2024-06-03,13,0
SL000235,P0188,W01,2024-02-16,46,0
SL000236,P0461,W03,2024-10-05,30,0
SL000237,P0173,W04,2024-07-20,28,1
SL000238,P0480,W01,2024-05-21,22,0
SL000239,P0290,W03,2024-11-12,24,0
SL000240,P0045,W03,2024-05-05,47,0
SL000241,P0061,W03,2024-11-27,30,0
SL000242,P0083,W03,2024-06-01,45,1
SL000243,P0123,W01,2024-03-05,38,0
SL000244,P0358,W02,2024-04-05,20,1
SL000245,P0016,W05,2024-06-29,6,0
SL000246,P0066,W05,2024-12-27,33,0
SL000247,P0424,W05,2024-06-26,47,0
SL000248,P0145,W02,2024-05-08,38,1
SL000249,P0375,W03,2024-02-08,15,0
SL000250,P0162,W03,2024-10-26,15,0
SL000251,P0234,W04,2024-12-26,32,1
SL000252,P0380,W05,2024-12-15,14,0
SL000253,P0144,W05,2024-05-12,42,1
SL000254,P0358,W03,2024-04-18,8,1
SL000255,P0188,W05,2024-03-12,36,0
SL000256,P0322,W03,2024-07-26,22,0
SL000257,P0450,W03,2024-03-05,38,0
SL000258,P0474,W03,2024-08-28,20,1
SL000259,P0013,W01,2024-03-19,24,0
SL000260,P0184,W01,2024-03-28,21,0
SL000261,P0111,W01,2024-06-26,28,0
SL000262,P0415,W01,2024-09-18,49,0
SL000263,P0290,W02,2024-03-06,23,0
SL000264,P0295,W04,2024-11-20,24,0
SL000265,P0451,W04,2024-04-14,39,0
SL000266,P0392,W03,2024-04-07,44,1
SL000267,P0215,W05,2024-04-05,23,0
SL000268,P0462,W01,2024-02-15,4,0
SL000269,P0120,W04,2024-01-31,46,0
SL000270,P0382,W04,2024-07-22,4,0
SL000271,P0055,W01,2024-05-27,30,0
SL000272,P0027,W02,2024-05-11,48,0
SL000273,P0118,W02,2024-07-04,28,0
SL000274,P0221,W04,2024-07-07,31,0
SL000275,P0231,W02,2024-05-06,33,1
SL000276,P0053,W01,2024-12-29,19,0
SL000277,P0295,W04,2024-10-23,10,0
SL000278,P0321,W01,2024-11-04,25,0
SL000279,P0401,W02,2024-03-27,37,0
SL000280,P0233,W01,2024-04-30,13,0
SL000281,P0158,W02,2024-11-27,6,0
SL000282,P0437,W02,2024-10-30,30,1
SL000283,P0269,W01,2024-05-14,23,0
SL000284,P0021,W02,2024-11-23,36,0
SL000285,P0403,W03,2024-07-17,16,0
SL000286,P0053,W01,2024-06-19,8,0
SL000287,P0275,W03,2024-09-16,16,0
SL000288,P0313,W01,2024-05-03,11,1
SL000289,P0281,W02,2024-08-29,1,0
SL000290,P0214,W02,2024-03-11,22,1
SL000291,P0031,W04,2024-02-28,18,0
SL000292,P0337,W04,2024-04-18,36,0
SL000293,P0183,W03,2024-02-10,11,0
SL000294,P0023,W02,2024-10-12,20,0
SL000295,P0032,W04,2024-05-25,10,1
SL000296,P0446,W02,2024-10-12,48,0
SL000297,P0074,W01,2024-02-21,10,0
SL000298,P0010,W04,2024-06-24,37,0
SL000299,P0484,W03,2024-10-05,22,1
SL000300,P0456,W04,2024-06-13,11,1
SL000301,P0054,W02,2024-11-22,35,0
SL000302,P0052,W05,2024-09-08,9,0
SL000303,P0148,W05,2024-04-12,15,0
SL000304,P0160,W02,2024-02-22,19,0
SL000305,P0370,W01,2024-09-11,37,0
SL000306,P0014,W04,2024-12-26,6,1
SL000307,P0178,W05,2024-06-21,36,0
SL000308,P0412,W01,2024-09-07,44,0
SL000309,P0366,W02,2024-06-25,5,0
SL000310,P0500,W01,2024-02-18,3,0
SL000311,P0053,W02,2024-04-20,10,0
SL000312,P0408,W04,2024-07-28,13,0
SL000313,P0335,W01,2024-09-04,4,0
SL000314,P0022,W04,2024-06-23,40,0
SL000315,P0030,W01,2024-04-16,33,0
SL000316,P0191,W02,2024-06-01,34,1
SL000317,P0260,W02,2024-12-12,36,0
SL000318,P0205,W01,2024-06-03,33,0
SL000319,P0059,W02,2024-05-19,21,0
SL000320,P0471,W03,2024-05-30,39,0
SL000321,P0264,W03,2024-09-29,5,0
SL000322,P0466,W04,2024-02-13,45,0
SL000323,P0012,W03,2024-03-11,13,1
SL000324,P0119,W03,2024-05-04,40,0
SL000325,P0415,W05,2024-05-31,17,0
SL000326,P0462,W05,2024-12-14,10,0
SL000327,P0290,W05,2024-11-11,10,0
SL000328,P0338,W05,2024-11-04,2,0
SL000329,P0248,W02,2024-08-07,38,0
SL000330,P0354,W04,2024-08-02,21,0
SL000331,P0127,W04,2024-11-25,1,0
SL000332,P0075,W03,2024-05-23,30,0
SL000333,P0361,W04,2024-04-16,18,0
SL000334,P0204,W03,2024-12-19,35,0
SL000335,P0049,W04,2024-10-07,39,0
SL000336,P0079,W01,2024-11-17,48,0
SL000337,P0441,W01,2024-11-01,22,1
SL000338,P0479,W04,2024-11-20,3,0
SL000339,P0241,W02,2024-11-29,6,0
SL000340,P0349,W03,2024-03-04,36,0
SL000341,P0154,W04,2024-10-10,16,0
SL000342,P0274,W03,2024-09-21,3,1
SL000343,P0096,W05,2024-01-06,36,0
SL000344,P0214,W04,2024-06-16,11,0
SL000345,P0294,W02,2024-12-20,17,0
SL000346,P0209,W05,2024-06-21,19,1
SL000347,P0343,W04,2024-12-03,8,0
SL000348,P0088,W01,2024-04-28,14,0
SL000349,P0306,W04,2024-08-13,26,1
SL000350,P0264,W01,2024-06-22,48,1
SL000351,P0425,W01,2024-05-08,25,0
SL000352,P0390,W04,2024-07-05,48,0
SL000353,P0325,W04,2024-03-03,10,1
SL000354,P0428,W01,2024-09-30,32,0
SL000355,P0377,W03,2024-03-26,15,1
SL000356,P0320,W05,2024-07-28,4,0
SL000357,P0157,W02,2024-07-11,28,0
SL000358,P0156,W04,2024-08-25,4,0
SL000359,P0139,W05,2024-01-20,13,0
SL000360,P0121,W05,2024-06-30,12,1
SL000361,P0065,W03,2024-02-17,15,0
SL000362,P0107,W05,2024-08-15,29,0
SL000363,P0147,W04,2024-02-23,23,0
SL000364,P0137,W05,2024-04-11,13,0
SL000365,P0411,W04,2024-03-29,38,1
SL000366,P0162,W04,2024-05-23,46,1
SL000367,P0428,W01,2024-05-27,35,1
SL000368,P0452,W03,2024-08-17,40,0
SL000369,P0100,W02,2024-10-29,12,0
SL000370,P0338,W01,2024-09-06,30,0
SL000371,P0399,W02,2024-08-12,46,1
SL000372,P0307,W04,2024-06-09,5,0
SL000373,P0141,W01,2024-06-16,2,0
SL000374,P0083,W05,2024-04-19,42,0
SL000375,P0177,W05,2024-09-17,30,0
SL000376,P0198,W02,2024-06-21,35,0
SL000377,P0112,W04,2024-10-23,10,0
SL000378,P0056,W02,2024-08-30,9,0
SL000379,P0460,W03,2024-07-27,17,0
SL000380,P0179,W05,2024-08-30,38,0
SL000381,P0421,W01,2024-09-10,30,0
SL000382,P0401,W01,2024-03-22,41,0
SL000383,P0186,W01,2024-01-31,35,0
SL000384,P0471,W05,2024-01-04,7,0
SL000385,P0218,W04,2024-07-12,12,0
SL000386,P0413,W05,2024-02-25,42,0
SL000387,P0417,W05,2024-09-17,34,1
SL000388,P0316,W01,2024-03-21,49,1
SL000389,P0475,W05,2024-02-23,3,0
SL000390,P0217,W01,2024-04-05,33,0
SL000391,P0120,W04,2024-12-14,40,0
SL000392,P0439,W03,2024-12-01,13,1
SL000393,P0394,W01,2024-09-13,11,0
SL000394,P0175,W02,2024-07-22,40,0
SL000395,P0023,W03,2024-07-29,20,0
SL000396,P0213,W04,2024-11-24,31,0
SL000397,P0405,W03,2024-11-12,33,0
SL000398,P0235,W01,2024-05-05,34,0
SL000399,P0013,W04,2024-01-07,9,0
SL000400,P0101,W02,2024-05-04,7,0
SL000401,P0417,W01,2024-09-27,9,0
SL000402,P0024,W01,2024-04-17,42,0
SL000403,P0364,W04,2024-09-16,26,0
SL000404,P0011,W04,2024-11-14,2,0
SL000405,P0273,W03,2024-03-10,5,1
SL000406,P0452,W02,2024-02-07,49,0
SL000407,P0431,W03,2024-06-23,2,0
SL000408,P0281,W03,2024-07-06,10,0
SL000409,P0094,W01,2024-08-14,31,0
SL000410,P0201,W04,2024-09-14,33,0
SL000411,P0021,W01,2024-07-15,44,0
SL000412,P0340,W02,2024-01-08,47,0
SL000413,P0467,W03,2024-02-20,6,1
SL000414,P0211,W02,2024-08-09,14,1
SL000415,P0140,W04,2024-01-19,14,0
SL000416,P0293,W04,2024-12-15,15,1
SL000417,P0298,W05,2024-09-03,33,0
SL000418,P0401,W02,2024-01-31,31,0
SL000419,P0101,W01,2024-03-20,17,0
SL000420,P0304,W02,2024-12-23,43,0
SL000421,P0359,W03,2024-01-22,15,0
SL000422,P0028,W04,2024-10-15,20,0
SL000423,P0041,W04,2024-08-29,48,0
SL000424,P0355,W02,2024-08-01,21,0
SL000425,P0303,W02,2024-07-18,29,1
SL000426,P0496,W02,2024-06-13,9,0
SL000427,P0146,W03,2024-05-19,29,0
SL000428,P0256,W03,2024-11-15,44,1
SL000429,P0462,W01,2024-10-11,34,0
SL000430,P0227,W02,2024-01-13,47,0
SL000431,P0236,W01,2024-01-26,9,0
SL000432,P0361,W05,2024-01-22,48,0
SL000433,P0380,W03,2024-12-14,30,0
SL000434,P0455,W04,2024-03-16,17,0
SL000435,P0489,W05,2024-12-31,4,1
SL000436,P0013,W04,2024-04-01,40,0
SL000437,P0210,W05,2024-11-24,32,0
SL000438,P0229,W01,2024-09-22,32,1
SL000439,P0397,W01,2024-02-17,7,0
SL000440,P0100,W03,2024-06-18,38,0
SL000441,P0031,W04,2024-12-11,32,1
SL000442,P0386,W05,2024-09-01,5,0
SL000443,P0016,W02,2024-08-15,42,0
SL000444,P0137,W02,2024-07-05,3,0
SL000445,P0329,W03,2024-06-16,20,0
SL000446,P0166,W04,2024-07-21,17,0
SL000447,P0459,W02,2024-01-06,16,0
SL000448,P0310,W03,2024-05-11,11,0
SL000449,P0440,W03,2024-09-01,13,0
SL000450,P0470,W04,2024-03-31,18,0
SL000451,P0481,W02,2024-11-06,14,0
SL000452,P0100,W02,2024-05-05,34,0
SL000453,P0109,W02,2024-08-29,12,1
SL000454,P0343,W01,2024-09-05,22,0
SL000455,P0173,W02,2024-01-07,21,0
SL000456,P0237,W05,2024-03-28,26,0
SL000457,P0162,W01,2024-03-26,42,0
SL000458,P0393,W01,2024-12-20,39,1
SL000459,P0216,W01,2024-05-24,2,0
SL000460,P0264,W01,2024-11-26,49,0
SL000461,P0263,W03,2024-07-16,16,0
SL000462,P0292,W05,2024-12-28,34,0
SL000463,P0274,W04,2024-06-12,11,1
SL000464,P0003,W02,2024-05-24,19,0
SL000465,P0028,W01,2024-12-07,30,1
SL000466,P0326,W04,2024-01-01,7,0
SL000467,P0492,W03,2024-04-29,27,0
SL000468,P0428,W04,2024-03-07,22,0
SL000469,P0149,W01,2024-12-20,17,0
SL000470,P0028,W05,2024-02-18,15,0
SL000471,P0488,W04,2024-11-02,9,0
SL000472,P0310,W01,2024-11-22,12,0
SL000473,P0438,W01,2024-10-13,8,1
SL000474,P0065,W02,2024-01-24,2,0
SL000475,P0356,W02,2024-07-29,49,1
SL000476,P0021,W05,2024-10-19,48,0
SL000477,P0252,W02,2024-03-03,16,1
SL000478,P0235,W05,2024-02-25,3,1
SL000479,P0227,W03,2024-01-18,48,1
SL000480,P0013,W03,2024-12-27,31,0
SL000481,P0313,W02,2024-03-17,43,0
SL000482,P0049,W03,2024-09-16,26,0
SL000483,P0118,W04,2024-04-30,41,0
SL000484,P0054,W04,2024-07-02,46,1
SL000485,P0138,W04,2024-02-17,2,1
SL000486,P0053,W03,2024-05-26,30,1
SL000487,P0044,W04,2024-10-08,13,0
SL000488,P0303,W05,2024-12-29,37,0
SL000489,P0053,W01,2024-10-20,14,0
SL000490,P0074,W02,2024-03-20,1,0
SL000491,P0046,W05,2024-08-23,32,0
SL000492,P0013,W04,2024-08-16,6,0
SL000493,P0165,W01,2024-10-10,22,0
SL000494,P0102,W02,2024-03-01,11,0
SL000495,P0280,W05,2024-08-07,49,1
SL000496,P0258,W02,2024-12-10,23,0
SL000497,P0470,W03,2024-03-29,14,0
SL000498,P0337,W04,2024-09-20,14,0
SL000499,P0356,W05,2024-08-15,20,0
SL000500,P0398,W05,2024-04-12,7,1
SL000501,P0138,W01,2024-03-28,19,0
SL000502,P0163,W01,2024-01-23,26,0
SL000503,P0409,W01,2024-10-19,22,0
SL000504,P0387,W02,2024-09-23,6,1
SL000505,P0111,W04,2024-01-17,13,1
SL000506,P0102,W02,2024-10-11,10,0
SL000507,P0017,W04,2024-11-08,19,1
SL000508,P0268,W05,2024-06-10,31,0
SL000509,P0182,W02,2024-03-18,10,0
SL000510,P0372,W02,2024-05-01,37,0
SL000511,P0024,W02,2024-04-21,13,0
SL000512,P0029,W03,2024-08-26,17,1
SL000513,P0171,W04,2024-07-28,5,0
SL000514,P0409,W04,2024-12-14,21,1
SL000515,P0228,W02,2024-01-02,39,0
SL000516,P0378,W03,2024-07-21,20,0
SL000517,P0188,W02,2024-10-13,7,0
SL000518,P0346,W04,2024-04-26,15,0
SL000519,P0230,W05,2024-10-26,15,1
SL000520,P0321,W03,2024-12-11,23,0
SL000521,P0340,W03,2024-04-23,33,0
SL000522,P0119,W02,2024-03-14,44,0
SL000523,P0156,W05,2024-08-28,2,0
SL000524,P0272,W04,2024-10-28,32,1
SL000525,P0175,W01,2024-02-23,15,0
SL000526,P0465,W04,2024-06-07,7,0
SL000527,P0104,W04,2024-04-18,9,0
SL000528,P0092,W05,2024-10-06,28,0
SL000529,P0186,W03,2024-06-01,22,0
SL000530,P0460,W04,2024-06-11,3,1
SL000531,P0283,W03,2024-02-26,42,0
SL000532,P0181,W05,2024-11-23,2,0
SL000533,P0170,W05,2024-11-20,22,0
SL000534,P0187,W02,2024-08-01,25,0
SL000535,P0175,W01,2024-01-28,25,0
SL000536,P0222,W05,2024-07-22,32,0
SL000537,P0233,W05,2024-02-02,44,0
SL000538,P0162,W03,2024-11-04,7,1
SL000539,P0421,W05,2024-05-01,31,0
SL000540,P0134,W04,2024-01-16,37,0
SL000541,P0391,W02,2024-06-02,4,0
SL000542,P0480,W02,2024-12-08,33,0
SL000543,P0224,W04,2024-08-05,15,0
SL000544,P0153,W05,2024-04-14,9,0
SL000545,P0033,W01,2024-03-17,6,0
SL000546,P0055,W05,2024-03-27,46,0
SL000547,P0442,W02,2024-01-31,31,0
SL000548,P0007,W01,2024-04-09,34,0
SL000549,P0244,W03,2024-06-03,44,0
SL000550,P0313,W03,2024-10-18,38,0
SL000551,P0126,W05,2024-11-10,13,0
SL000552,P0012,W05,2024-04-15,36,0
SL000553,P0016,W01,2024-08-17,32,0
SL000554,P0208,W01,2024-01-03,22,0
SL000555,P0043,W05,2024-08-09,48,0
SL000556,P0373,W02,2024-04-30,29,0
SL000557,P0484,W03,2024-06-08,11,1
SL000558,P0461,W01,2024-09-27,6,1
SL000559,P0135,W02,2024-11-26,5,0
SL000560,P0228,W05,2024-07-12,1,1
SL000561,P0111,W04,2024-08-05,39,0
SL000562,P0307,W01,2024-07-09,10,1
SL000563,P0457,W04,2024-09-08,10,1
SL000564,P0160,W02,2024-08-13,49,1
SL000565,P0331,W03,2024-01-01,24,0
SL000566,P0264,W02,2024-05-12,7,0
SL000567,P0225,W03,2024-03-30,22,0
SL000568,P0471,W02,2024-01-06,21,0
SL000569,P0217,W01,2024-08-31,22,1
SL000570,P0456,W01,2024-05-12,33,1
SL000571,P0045,W04,2024-04-25,44,1
SL000572,P0214,W02,2024-03-13,25,0
SL000573,P0059,W02,2024-06-04,31,0
SL000574,P0132,W04,2024-07-29,49,0
SL000575,P0104,W05,2024-03-09,16,0
SL000576,P0195,W02,2024-10-26,15,0
SL000577,P0413,W02,2024-05-23,29,0
SL000578,P0489,W02,2024-07-17,19,0
SL000579,P0157,W05,2024-07-24,17,0
SL000580,P0098,W01,2024-07-19,26,0
SL000581,P0226,W04,2024-08-26,36,0
SL000582,P0412,W05,2024-03-08,36,0
SL000583,P0205,W03,2024-06-19,35,0
SL000584,P0079,W03,2024-10-23,40,0
SL000585,P0124,W05,2024-03-10,23,0
SL000586,P0471,W05,2024-10-13,9,1
SL000587,P0428,W01,2024-01-17,34,0
SL000588,P0218,W03,2024-05-16,18,0
SL000589,P0004,W04,2024-08-06,16,1
SL000590,P0090,W02,2024-11-06,32,0
SL000591,P0104,W02,2024-01-06,28,0
SL000592,P0393,W01,2024-07-16,32,0
SL000593,P0119,W01,2024-05-11,18,0
SL000594,P0133,W03,2024-12-28,44,0
SL000595,P0312,W04,2024-12-09,34,1
SL000596,P0096,W04,2024-07-02,29,0
SL000597,P0468,W05,2024-01-18,21,0
SL000598,P0434,W01,2024-07-31,1,0
SL000599,P0331,W02,2024-02-17,16,0
SL000600,P0143,W02,2024-01-29,49,0
SL000601,P0288,W03,2024-06-01,33,0
SL000602,P0028,W02,2024-11-27,21,1
SL000603,P0278,W04,2024-08-25,35,0
SL000604,P0233,W04,2024-11-14,27,0
