PO_ID,SKU,Supplier_ID,Order_Date,Quantity_Ordered,Delivery_Date,Status
PO000076,P0025,S02,2024-02-22,164,2024-03-03,Delivered
PO000077,P0082,S03,2024-11-07,363,2024-11-21,Delivered
PO000078,P0252,S05,2024-11-27,137,2024-12-04,Delivered
PO000079,P0149,S02,2024-09-25,400,2024-10-14,Delivered
PO000080,P0486,S07,2024-12-22,383,2025-01-02,Pending
PO000081,P0370,S04,2024-07-11,233,2024-07-26,Delivered
PO000082,P0089,S02,2024-06-27,219,2024-07-09,Delivered
PO000083,P0306,S01,2024-02-16,193,2024-02-25,Delivered
PO000084,P0064,S05,2024-01-18,397,2024-02-02,Delivered
PO000085,P0117,S04,2024-12-20,492,2024-12-31,Delivered
PO000086,P0140,S10,2024-03-31,215,2024-04-17,Delivered
PO000087,P0031,S07,2024-02-22,459,2024-03-03,Delivered
PO000088,P0076,S02,2024-02-07,71,2024-02-24,Delivered
PO000089,P0500,S01,2024-12-09,457,2024-12-27,Delivered
PO000090,P0159,S09,2024-05-25,111,2024-06-09,Delivered
PO000091,P0131,S02,2024-07-05,465,2024-07-10,Delivered
PO000092,P0290,S07,2024-04-09,498,2024-04-24,Delivered
PO000093,P0219,S09,2024-07-19,463,2024-08-05,Delivered
PO000094,P0047,S08,2024-12-25,190,2025-01-02,Pending
PO000095,P0405,S04,2024-11-16,412,2024-12-04,Delivered
PO000096,P0021,S08,2024-11-19,482,2024-12-06,Delivered
PO000097,P0257,S02,2024-02-02,485,2024-02-13,Delivered
PO000098,P0285,S04,2024-05-09,317,2024-05-27,Delivered
PO000099,P0463,S06,2024-07-15,469,2024-07-31,Delivered
PO000100,P0030,S06,2024-02-12,489,2024-02-20,Delivered
PO000101,P0197,S10,2024-03-03,302,2024-03-21,Delivered
PO000102,P0215,S02,2024-06-29,404,2024-07-04,Delivered
PO000103,P0180,S02,2024-06-27,300,2024-07-16,Delivered
PO000104,P0110,S06,2024-07-29,113,2024-08-10,Delivered
PO000105,P0358,S06,2024-04-11,291,2024-04-26,Delivered
PO000106,P0258,S09,2024-06-19,423,2024-07-04,Delivered
PO000107,P0068,S05,2024-09-06,50,2024-09-24,Delivered
PO000108,P0058,S09,2024-08-05,454,2024-08-15,Delivered
PO000109,P0130,S09,2024-08-29,192,2024-09-12,Delivered
PO000110,P0218,S04,2024-10-04,146,2024-10-22,Delivered
PO000111,P0161,S10,2024-05-26,109,2024-06-06,Delivered
PO000112,P0111,S08,2024-09-07,171,2024-09-23,Delivered
PO000113,P0220,S10,2024-09-16,384,2024-10-04,Delivered
PO000114,P0067,S09,2024-01-20,192,2024-02-05,Delivered
PO000115,P0222,S09,2024-05-30,190,2024-06-04,Delivered
PO000116,P0423,S03,2024-06-21,227,2024-07-04,Delivered
PO000117,P0457,S01,2024-07-04,336,2024-07-19,Delivered
PO000118,P0404,S06,2024-11-21,433,2024-11-28,Delivered
PO000119,P0424,S06,2024-06-24,450,2024-07-04,Delivered
PO000120,P0209,S10,2024-06-25,369,2024-07-07,Delivered
PO000121,P0297,S04,2024-08-24,434,2024-09-09,Delivered
PO000122,P0118,S09,2024-06-14,89,2024-06-20,Delivered
PO000123,P0404,S07,2024-01-21,458,2024-01-26,Delivered
PO000124,P0334,S03,2024-12-10,227,2024-12-20,Delivered
PO000125,P0142,S02,2024-08-05,139,2024-08-22,Delivered
PO000126,P0317,S10,2024-12-07,473,2024-12-17,Delivered
PO000127,P0043,S07,2024-06-17,137,2024-06-30,Delivered
PO000128,P0195,S02,2024-03-22,157,2024-04-08,Delivered
PO000129,P0378,S01,2024-05-31,128,2024-06-19,Delivered
PO000130,P0320,S04,2024-09-27,274,2024-10-06,Delivered
PO000131,P0394,S02,2024-09-12,414,2024-09-19,Delivered
PO000132,P0259,S10,2024-05-13,431,2024-05-22,Delivered
PO000133,P0142,S10,2024-06-30,332,2024-07-19,Delivered
PO000134,P0380,S03,2024-04-14,316,2024-04-25,Delivered
PO000135,P0120,S06,2024-02-26,153,2024-03-03,Delivered
PO000136,P0201,S06,2024-03-06,60,2024-03-21,Delivered
PO000137,P0161,S09,2024-05-29,99,2024-06-10,Delivered
PO000138,P0033,S07,2024-05-22,122,2024-06-06,Delivered
PO000139,P0436,S04,2024-06-24,118,2024-07-11,Delivered
PO000140,P0144,S04,2024-07-10,159,2024-07-18,Delivered
PO000141,P0455,S10,2024-09-25,169,2024-10-01,Delivered
PO000142,P0084,S04,2024-10-25,296,2024-11-05,Delivered
PO000143,P0220,S07,2024-01-01,427,2024-01-16,Delivered
PO000144,P0300,S05,2024-07-26,423,2024-08-05,Delivered
PO000145,P0350,S09,2024-03-17,291,2024-04-03,Delivered
PO000146,P0060,S09,2024-05-03,64,2024-05-21,Delivered
PO000147,P0444,S06,2024-04-11,270,2024-04-22,Delivered
PO000148,P0410,S07,2024-10-21,263,2024-11-01,Delivered
PO000149,P0240,S10,2024-09-25,343,2024-10-03,Delivered
PO000150,P0167,S02,2024-07-28,423,2024-08-07,Delivered
PO000151,P0308,S09,2024-01-08,152,2024-01-13,Delivered
PO000152,P0443,S10,2024-03-10,332,2024-03-26,Delivered
PO000153,P0218,S08,2024-11-19,186,2024-11-24,Delivered
PO000154,P0423,S05,2024-08-07,229,2024-08-22,Delivered
PO000155,P0202,S08,2024-06-24,139,2024-07-10,Delivered
PO000156,P0102,S04,2024-10-06,210,2024-10-12,Delivered
PO000157,P0466,S07,2024-03-25,66,2024-04-11,Delivered
PO000158,P0284,S07,2024-03-04,209,2024-03-13,Delivered
PO000159,P0425,S05,2024-08-31,78,2024-09-11,Delivered
PO000160,P0200,S02,2024-07-16,75,2024-07-28,Delivered
PO000161,P0040,S09,2024-08-04,253,2024-08-23,Delivered
PO000162,P0253,S08,2024-08-18,293,2024-08-23,Delivered
PO000163,P0004,S04,2024-09-29,464,2024-10-16,Delivered
PO000164,P0143,S06,2024-09-27,427,2024-10-12,Delivered
PO000165,P0149,S03,2024-09-25,165,2024-10-07,Delivered
PO000166,P0335,S04,2024-05-15,199,2024-06-03,Delivered
PO000167,P0051,S03,2024-02-07,146,2024-02-22,Delivered
PO000168,P0060,S09,2024-05-16,65,2024-05-30,Delivered
PO000169,P0238,S10,2024-11-18,385,2024-11-23,Delivered
PO000170,P0076,S08,2024-10-22,79,2024-11-05,Delivered
PO000171,P0197,S04,2024-11-10,300,2024-11-22,Delivered
PO000172,P0067,S01,2024-01-13,316,2024-01-31,Delivered
PO000173,P0455,S07,2024-10-25,481,2024-10-30,Delivered
PO000174,P0458,S04,2024-03-18,284,2024-04-05,Delivered
PO000175,P0450,S04,2024-04-08,415,2024-04-27,Delivered
PO000176,P0267,S03,2024-04-25,193,2024-05-06,Delivered
PO000177,P0290,S07,2024-03-25,110,2024-04-10,Delivered
PO000178,P0045,S02,2024-05-19,51,2024-05-25,Delivered
PO000179,P0149,S03,2024-12-10,127,2024-12-16,Delivered
PO000180,P0387,S07,2024-01-20,320,2024-02-05,Delivered
PO000181,P0182,S01,2024-11-07,73,2024-11-26,Delivered
PO000182,P0298,S03,2024-04-27,85,2024-05-03,Delivered
PO000183,P0343,S10,2024-09-18,115,2024-09-28,Delivered
PO000184,P0306,S10,2024-07-06,96,2024-07-22,Delivered
PO000185,P0396,S02,2024-05-28,275,2024-06-04,Delivered
PO000186,P0186,S04,2024-06-08,463,2024-06-14,Delivered
PO000187,P0033,S06,2024-09-16,289,2024-09-24,Delivered
PO000188,P0388,S04,2024-07-04,406,2024-07-20,Delivered
PO000189,P0198,S03,2024-06-08,161,2024-06-27,Delivered
PO000190,P0369,S02,2024-10-29,443,2024-11-10,Delivered
PO000191,P0470,S04,2024-11-03,215,2024-11-09,Delivered
PO000192,P0457,S02,2024-12-02,439,2024-12-16,Delivered
PO000193,P0160,S06,2024-02-10,353,2024-02-29,Delivered
PO000194,P0257,S10,2024-08-07,262,2024-08-16,Delivered
PO000195,P0248,S05,2024-11-26,484,2024-12-01,Delivered
PO000196,P0102,S04,2024-11-28,67,2024-12-15,Delivered
PO000197,P0427,S03,2024-10-20,391,2024-11-02,Delivered
PO000198,P0186,S03,2024-09-10,332,2024-09-23,Delivered
PO000199,P0228,S02,2024-03-26,105,2024-04-05,Delivered
PO000200,P0261,S07,2024-10-29,406,2024-11-08,Delivered
PO000201,P0419,S09,2024-01-10,442,2024-01-22,Delivered
PO000202,P0440,S01,2024-07-14,416,2024-07-22,Delivered
PO000203,P0238,S09,2024-12-29,363,2025-01-07,Pending
PO000204,P0404,S08,2024-12-19,453,2025-01-02,Pending
PO000205,P0158,S10,2024-12-23,177,2025-01-06,Pending
PO000206,P0129,S01,2024-10-15,460,2024-10-24,Delivered
PO000207,P0239,S01,2024-06-07,302,2024-06-22,Delivered
PO000208,P0368,S06,2024-08-22,465,2024-08-27,Delivered
PO000209,P0435,S07,2024-09-17,61,2024-09-25,Delivered
PO000210,P0318,S09,2024-04-11,388,2024-04-18,Delivered
PO000211,P0100,S10,2024-11-20,403,2024-12-01,Delivered
PO000212,P0438,S06,2024-09-21,172,2024-09-29,Delivered
PO000213,P0050,S05,2024-06-24,214,2024-07-06,Delivered
PO000214,P0475,S02,2024-09-13,446,2024-09-20,Delivered
PO000215,P0314,S07,2024-01-18,400,2024-02-06,Delivered
PO000216,P0399,S01,2024-12-22,443,2025-01-07,Pending
PO000217,P0066,S04,2024-11-29,191,2024-12-18,Delivered
PO000218,P0265,S05,2024-09-30,461,2024-10-17,Delivered
PO000219,P0251,S06,2024-11-13,320,2024-11-27,Delivered
PO000220,P0424,S01,2024-09-30,434,2024-10-06,Delivered
PO000221,P0032,S09,2024-08-18,208,2024-08-26,Delivered
PO000222,P0261,S09,2024-11-10,374,2024-11-28,Delivered
PO000223,P0163,S04,2024-05-04,181,2024-05-23,Delivered
PO000224,P0457,S01,2024-02-18,275,2024-03-02,Delivered
PO000225,P0047,S08,2024-03-18,97,2024-03-29,Delivered
PO000226,P0136,S08,2024-03-22,77,2024-03-29,Delivered
PO000227,P0451,S07,2024-05-29,419,2024-06-06,Delivered
PO000228,P0124,S10,2024-05-08,289,2024-05-23,Delivered
PO000229,P0195,S03,2024-10-03,110,2024-10-10,Delivered
PO000230,P0323,S02,2024-08-06,374,2024-08-25,Delivered
PO000231,P0353,S07,2024-01-13,244,2024-01-21,Delivered
PO000232,P0275,S10,2024-06-30,387,2024-07-19,Delivered
PO000233,P0176,S07,2024-11-04,69,2024-11-09,Delivered
PO000234,P0480,S05,2024-03-15,292,2024-03-20,Delivered
PO000235,P0350,S09,2024-08-21,262,2024-08-31,Delivered
PO000236,P0171,S07,2024-07-08,146,2024-07-22,Delivered
PO000237,P0079,S08,2024-05-09,336,2024-05-20,Delivered
PO000238,P0222,S06,2024-03-08,60,2024-03-21,Delivered
PO000239,P0186,S01,2024-06-04,257,2024-06-09,Delivered
PO000240,P0456,S09,2024-06-06,178,2024-06-18,Delivered
PO000241,P0388,S07,2024-08-21,392,2024-09-03,Delivered
PO000242,P0323,S10,2024-06-17,97,2024-07-01,Delivered
PO000243,P0093,S08,2024-04-17,74,2024-05-04,Delivered
PO000244,P0022,S02,2024-04-25,350,2024-05-05,Delivered
PO000245,P0107,S07,2024-07-27,52,2024-08-04,Delivered
PO000246,P0472,S10,2024-10-05,286,2024-10-21,Delivered
PO000247,P0247,S03,2024-06-27,53,2024-07-16,Delivered
PO000248,P0007,S03,2024-04-02,419,2024-04-11,Delivered
PO000249,P0106,S04,2024-02-27,251,2024-03-16,Delivered
PO000250,P0242,S10,2024-07-24,180,2024-08-09,Delivered
PO000251,P0498,S09,2024-02-23,168,2024-02-28,Delivered
PO000252,P0255,S09,2024-01-03,468,2024-01-08,Delivered
PO000253,P0012,S05,2024-08-17,227,2024-09-02,Delivered
PO000254,P0320,S10,2024-01-14,305,2024-01-30,Delivered
PO000255,P0484,S10,2024-09-04,113,2024-09-09,Delivered
PO000256,P0387,S03,2024-12-24,90,2025-01-02,Pending
PO000257,P0013,S06,2024-11-18,182,2024-12-05,Delivered
PO000258,P0096,S05,2024-09-28,160,2024-10-07,Delivered
PO000259,P0265,S06,2024-04-13,244,2024-04-24,Delivered
PO000260,P0414,S04,2024-08-18,207,2024-09-03,Delivered
PO000261,P0062,S07,2024-11-19,308,2024-12-04,Delivered
PO000262,P0479,S01,2024-06-26,413,2024-07-04,Delivered
PO000263,P0171,S08,2024-07-19,62,2024-08-04,Delivered
PO000264,P0326,S05,2024-05-15,243,2024-05-29,Delivered
PO000265,P0268,S09,2024-08-22,216,2024-09-05,Delivered
PO000266,P0087,S10,2024-09-15,354,2024-09-28,Delivered
PO000267,P0057,S03,2024-04-14,177,2024-04-26,Delivered
PO000268,P0431,S06,2024-12-23,462,2025-01-09,Pending
PO000269,P0208,S03,2024-01-24,120,2024-02-01,Delivered
PO000270,P0251,S07,2024-11-17,469,2024-12-05,Delivered
PO000271,P0499,S01,2024-02-23,151,2024-03-12,Delivered
PO000272,P0400,S06,2024-02-08,113,2024-02-25,Delivered
PO000273,P0341,S04,2024-05-02,72,2024-05-15,Delivered
PO000274,P0228,S02,2024-09-08,312,2024-09-22,Delivered
PO000275,P0058,S06,2024-08-22,244,2024-09-03,Delivered
PO000276,P0142,S01,2024-06-01,236,2024-06-06,Delivered
PO000277,P0390,S04,2024-12-15,221,2024-12-30,Delivered
PO000278,P0456,S01,2024-04-16,195,2024-05-01,Delivered
PO000279,P0193,S08,2024-04-14,282,2024-05-01,Delivered
PO000280,P0340,S03,2024-02-06,275,2024-02-23,Delivered
PO000281,P0154,S02,2024-07-02,335,2024-07-17,Delivered
PO000282,P0264,S08,2024-09-22,378,2024-09-29,Delivered
PO000283,P0326,S06,2024-05-18,361,2024-06-04,Delivered
PO000284,P0134,S07,2024-05-20,59,2024-05-27,Delivered
PO000285,P0105,S08,2024-09-07,357,2024-09-26,Delivered
PO000286,P0411,S05,2024-04-10,292,2024-04-21,Delivered
PO000287,P0337,S01,2024-08-14,206,2024-08-25,Delivered
PO000288,P0436,S08,2024-07-26,127,2024-07-31,Delivered
PO000289,P0373,S05,2024-02-04,119,2024-02-16,Delivered
PO000290,P0285,S06,2024-10-31,374,2024-11-12,Delivered
PO000291,P0433,S02,2024-06-30,429,2024-07-17,Delivered
PO000292,P0149,S06,2024-09-06,168,2024-09-15,Delivered
PO000293,P0452,S06,2024-09-26,326,2024-10-07,Delivered
PO000294,P0450,S09,2024-07-11,53,2024-07-18,Delivered
PO000295,P0357,S07,2024-04-29,183,2024-05-14,Delivered
PO000296,P0084,S08,2024-09-03,259,2024-09-17,Delivered
PO000297,P0063,S03,2024-08-17,249,2024-08-31,Delivered
PO000298,P0385,S04,2024-07-11,93,2024-07-24,Delivered
PO000299,P0265,S10,2024-10-13,114,2024-10-21,Delivered
PO000300,P0159,S08,2024-11-16,214,2024-11-23,Delivered
PO000301,P0452,S10,2024-02-03,264,2024-02-17,Delivered
PO000302,P0452,S10,2024-01-09,460,2024-01-17,Delivered
PO000303,P0365,S03,2024-05-20,149,2024-06-07,Delivered
PO000304,P0391,S08,2024-12-30,478,2025-01-12,Pending
PO000305,P0487,S03,2024-09-24,478,2024-10-01,Delivered
PO000306,P0216,S08,2024-04-21,84,2024-05-01,Delivered
PO000307,P0122,S02,2024-07-19,54,2024-07-28,Delivered
PO000308,P0207,S01,2024-06-06,302,2024-06-13,Delivered
PO000309,P0337,S03,2024-03-28,434,2024-04-06,Delivered
PO000310,P0500,S08,2024-09-09,465,2024-09-15,Delivered
PO000311,P0482,S06,2024-07-09,432,2024-07-24,Delivered
PO000312,P0287,S04,2024-01-16,181,2024-02-03,Delivered
PO000313,P0393,S02,2024-01-04,115,2024-01-13,Delivered
PO000314,P0476,S03,2024-04-03,355,2024-04-15,Delivered
PO000315,P0434,S05,2024-10-02,266,2024-10-12,Delivered
PO000316,P0389,S05,2024-09-10,132,2024-09-26,Delivered
PO000317,P0295,S01,2024-08-26,479,2024-09-13,Delivered
PO000318,P0161,S07,2024-03-30,135,2024-04-11,Delivered
PO000319,P0159,S03,2024-09-27,253,2024-10-12,Delivered
PO000320,P0387,S07,2024-09-27,426,2024-10-15,Delivered
PO000321,P0244,S09,2024-02-07,425,2024-02-22,Delivered
PO000322,P0131,S05,2024-06-12,244,2024-06-29,Delivered
PO000323,P0486,S05,2024-03-21,420,2024-04-02,Delivered
PO000324,P0001,S01,2024-02-20,441,2024-03-08,Delivered
PO000325,P0141,S10,2024-12-08,168,2024-12-16,Delivered
PO000326,P0073,S07,2024-08-13,458,2024-09-01,Delivered
PO000327,P0133,S02,2024-04-08,260,2024-04-24,Delivered
PO000328,P0007,S10,2024-04-11,415,2024-04-30,Delivered
PO000329,P0241,S10,2024-05-12,124,2024-05-29,Delivered
PO000330,P0047,S02,2024-03-15,331,2024-03-28,Delivered
PO000331,P0007,S01,2024-09-15,159,2024-10-04,Delivered
PO000332,P0450,S08,2024-02-21,488,2024-03-08,Delivered
PO000333,P0059,S03,2024-08-03,441,2024-08-10,Delivered
PO000334,P0114,S03,2024-10-15,326,2024-10-23,Delivered
PO000335,P0257,S02,2024-03-31,292,2024-04-08,Delivered
PO000336,P0322,S07,2024-10-07,370,2024-10-21,Delivered
PO000337,P0487,S09,2024-06-12,272,2024-06-29,Delivered
PO000338,P0414,S04,2024-05-18,111,2024-06-06,Delivered
PO000339,P0249,S04,2024-10-22,283,2024-10-28,Delivered
PO000340,P0168,S06,2024-03-17,134,2024-03-24,Delivered
PO000341,P0153,S04,2024-08-30,471,2024-09-16,Delivered
PO000342,P0209,S07,2024-10-21,359,2024-11-07,Delivered
PO000343,P0421,S06,2024-09-18,76,2024-09-28,Delivered
PO000344,P0389,S09,2024-02-26,430,2024-03-12,Delivered
PO000345,P0005,S05,2024-09-22,170,2024-10-09,Delivered
PO000346,P0167,S04,2024-03-29,402,2024-04-08,Delivered
PO000347,P0087,S03,2024-07-06,160,2024-07-19,Delivered
PO000348,P0315,S10,2024-01-07,311,2024-01-17,Delivered
PO000349,P0040,S08,2024-01-19,116,2024-02-06,Delivered
PO000350,P0145,S08,2024-05-11,449,2024-05-20,Delivered
PO000351,P0081,S10,2024-11-25,112,2024-12-10,Delivered
PO000352,P0382,S03,2024-06-20,318,2024-06-25,Delivered
PO000353,P0054,S10,2024-09-30,470,2024-10-16,Delivered
PO000354,P0447,S06,2024-12-10,308,2024-12-19,Delivered
PO000355,P0429,S01,2024-10-07,194,2024-10-26,Delivered
PO000356,P0197,S09,2024-04-03,381,2024-04-09,Delivered
PO000357,P0496,S07,2024-05-10,485,2024-05-28,Delivered
PO000358,P0375,S04,2024-07-19,90,2024-07-29,Delivered
PO000359,P0155,S02,2024-08-30,290,2024-09-06,Delivered
PO000360,P0423,S03,2024-08-20,274,2024-09-04,Delivered
PO000361,P0464,S07,2024-01-06,208,2024-01-23,Delivered
PO000362,P0302,S01,2024-11-22,287,2024-12-05,Delivered
PO000363,P0322,S04,2024-11-22,495,2024-12-04,Delivered
PO000364,P0189,S07,2024-02-07,227,2024-02-24,Delivered
PO000365,P0106,S09,2024-07-04,316,2024-07-22,Delivered
PO000366,P0299,S04,2024-03-13,111,2024-03-19,Delivered
PO000367,P0231,S07,2024-09-13,169,2024-09-22,Delivered
PO000368,P0133,S04,2024-03-24,67,2024-04-09,Delivered
PO000369,P0251,S02,2024-03-20,188,2024-04-03,Delivered
PO000370,P0139,S02,2024-08-05,270,2024-08-24,Delivered
PO000371,P0381,S07,2024-06-21,393,2024-07-08,Delivered
PO000372,P0450,S04,2024-03-16,140,2024-03-28,Delivered
PO000373,P0241,S06,2024-10-30,196,2024-11-09,Delivered
PO000374,P0223,S06,2024-11-14,389,2024-12-02,Delivered
PO000375,P0257,S02,2024-02-23,66,2024-03-08,Delivered
PO000376,P0464,S09,2024-12-15,189,2024-12-31,Delivered
PO000377,P0289,S10,2024-05-05,243,2024-05-19,Delivered
PO000378,P0146,S04,2024-12-10,345,2024-12-19,Delivered
PO000379,P0348,S01,2024-03-04,486,2024-03-19,Delivered
PO000380,P0418,S08,2024-04-20,285,2024-05-04,Delivered
PO000381,P0240,S04,2024-07-03,93,2024-07-16,Delivered
PO000382,P0151,S08,2024-12-21,208,2024-12-28,Delivered
PO000383,P0120,S01,2024-01-17,88,2024-01-23,Delivered
PO000384,P0058,S08,2024-04-22,479,2024-04-29,Delivered
PO000385,P0097,S06,2024-07-24,84,2024-08-01,Delivered
PO000386,P0139,S10,2024-09-08,285,2024-09-15,Delivered
PO000387,P0041,S03,2024-04-22,112,2024-05-04,Delivered
PO000388,P0242,S03,2024-12-20,499,2024-12-25,Delivered
PO000389,P0162,S07,2024-11-10,266,2024-11-19,Delivered
PO000390,P0452,S08,2024-09-30,437,2024-10-06,Delivered
PO000391,P0055,S09,2024-05-16,278,2024-06-03,Delivered
PO000392,P0060,S02,2024-12-26,230,2025-01-13,Pending
PO000393,P0015,S09,2024-01-26,236,2024-02-07,Delivered
PO000394,P0019,S08,2024-12-22,405,2024-12-29,Delivered
PO000395,P0284,S10,2024-12-13,115,2024-12-18,Delivered
PO000396,P0028,S06,2024-09-28,233,2024-10-12,Delivered
PO000397,P0331,S05,2024-12-29,262,2025-01-16,Pending
PO000398,P0071,S02,2024-02-17,419,2024-03-02,Delivered
PO000399,P0229,S05,2024-12-31,341,2025-01-15,Pending
PO000400,P0373,S04,2024-12-08,385,2024-12-14,Delivered
PO000401,P0338,S06,2024-05-10,109,2024-05-21,Delivered
PO000402,P0373,S01,2024-12-29,449,2025-01-16,Pending
PO000403,P0271,S09,2024-07-03,62,2024-07-19,Delivered
PO000404,P0338,S01,2024-10-06,382,2024-10-23,Delivered
PO000405,P0010,S02,2024-01-05,164,2024-01-11,Delivered
PO000406,P0284,S06,2024-12-29,105,2025-01-17,Pending
PO000407,P0140,S02,2024-03-06,285,2024-03-14,Delivered
PO000408,P0232,S04,2024-11-14,421,2024-12-02,Delivered
PO000409,P0320,S09,2024-10-09,281,2024-10-16,Delivered
PO000410,P0301,S10,2024-08-18,238,2024-09-02,Delivered
PO000411,P0144,S06,2024-02-10,184,2024-02-24,Delivered
PO000412,P0286,S08,2024-06-05,332,2024-06-16,Delivered
PO000413,P0163,S02,2024-04-10,237,2024-04-29,Delivered
PO000414,P0323,S08,2024-07-03,394,2024-07-18,Delivered
PO000415,P0146,S06,2024-03-19,495,2024-03-29,Delivered
PO000416,P0011,S01,2024-08-27,346,2024-09-14,Delivered
PO000417,P0420,S08,2024-01-23,299,2024-01-31,Delivered
PO000418,P0042,S04,2024-12-29,133,2025-01-06,Pending
PO000419,P0323,S08,2024-06-26,136,2024-07-09,Delivered
PO000420,P0136,S05,2024-06-30,325,2024-07-10,Delivered
PO000421,P0322,S02,2024-03-23,322,2024-03-31,Delivered
PO000422,P0209,S07,2024-11-29,353,2024-12-17,Delivered
