Transaction_ID,SKU,Warehouse_ID,Transaction_Date,Transaction_Type,Quantity
TX000043,P0294,W03,2024-01-08,Receipt,178
TX000044,P0048,W01,2024-04-17,Issue,-92
TX000045,P0427,W04,2024-07-02,Issue,-5
TX000046,P0028,W03,2024-03-24,Receipt,65
TX000047,P0376,W03,2024-09-02,Issue,-44
TX000048,P0425,W03,2024-11-28,Issue,-19
TX000049,P0236,W01,2024-09-18,Receipt,46
TX000050,P0488,W04,2024-03-14,Receipt,122
TX000051,P0440,W01,2024-11-04,Issue,-93
TX000052,P0465,W05,2024-11-21,Issue,-6
TX000053,P0378,W02,2024-10-08,Issue,-79
TX000054,P0076,W04,2024-02-22,Issue,-176
TX000055,P0475,W04,2024-03-01,Receipt,65
TX000056,P0321,W01,2024-07-14,Issue,-187
TX000057,P0488,W05,2024-09-27,Issue,-32
TX000058,P0060,W04,2024-01-13,Receipt,139
TX000059,P0225,W05,2024-07-13,Receipt,82
TX000060,P0269,W02,2024-08-06,Receipt,18
TX000061,P0453,W04,2024-06-21,Receipt,142
TX000062,P0052,W05,2024-11-30,Receipt,90
TX000063,P0101,W05,2024-02-25,Issue,-137
TX000064,P0360,W05,2024-01-23,Receipt,189
TX000065,P0299,W05,2024-02-08,Issue,-130
TX000066,P0220,W01,2024-04-06,Issue,-29
TX000067,P0250,W04,2024-10-03,Issue,-145
TX000068,P0472,W01,2024-05-21,Receipt,113
TX000069,P0212,W05,2024-09-25,Receipt,187
TX000070,P0424,W03,2024-10-14,Receipt,25
TX000071,P0042,W04,2024-08-23,Issue,-30
TX000072,P0421,W01,2024-11-14,Issue,-127
TX000073,P0468,W05,2024-11-03,Issue,-136
TX000074,P0407,W05,2024-11-25,Issue,-181
TX000075,P0323,W04,2024-10-04,Issue,-162
TX000076,P0325,W02,2024-04-25,Issue,-11
TX000077,P0335,W04,2024-04-02,Receipt,60
TX000078,P0110,W01,2024-05-01,Issue,-97
TX000079,P0117,W02,2024-07-17,Receipt,48
TX000080,P0069,W04,2024-08-29,Issue,-156
TX000081,P0098,W04,2024-10-17,Issue,-55
TX000082,P0250,W04,2024-04-02,Issue,-39
TX000083,P0487,W03,2024-03-20,Receipt,62
TX000084,P0379,W04,2024-11-23,Issue,-63
TX000085,P0186,W01,2024-01-20,Receipt,185
TX000086,P0231,W05,2024-05-01,Issue,-54
TX000087,P0302,W01,2024-05-26,Receipt,22
TX000088,P0343,W04,2024-09-28,Issue,-177
TX000089,P0431,W02,2024-03-02,Issue,-75
TX000090,P0273,W03,2024-10-11,Issue,-98
TX000091,P0393,W03,2024-12-19,Issue,-67
TX000092,P0324,W03,2024-12-13,Receipt,32
TX000093,P0222,W02,2024-10-16,Issue,-170
TX000094,P0240,W02,2024-12-02,Receipt,69
TX000095,P0462,W02,2024-01-04,Issue,-109
TX000096,P0286,W02,2024-11-06,Receipt,138
TX000097,P0351,W01,2024-02-21,Issue,-40
TX000098,P0061,W05,2024-04-07,Receipt,182
TX000099,P0193,W02,2024-01-30,Issue,-8
TX000100,P0442,W05,2024-08-24,Issue,-72
TX000101,P0411,W04,2024-07-05,Receipt,25
TX000102,P0194,W05,2024-11-15,Issue,-78
TX000103,P0301,W04,2024-06-14,Issue,-40
TX000104,P0040,W03,2024-10-12,Issue,-85
TX000105,P0317,W04,2024-08-10,Receipt,6
TX000106,P0377,W01,2024-10-25,Issue,-102
TX000107,P0297,W04,2024-12-17,Issue,-169
TX000108,P0202,W03,2024-11-07,Issue,-31
TX000109,P0088,W03,2024-08-13,Receipt,150
TX000110,P0468,W05,2024-07-28,Issue,-99
TX000111,P0170,W05,2024-05-13,Issue,-180
TX000112,P0190,W03,2024-08-30,Issue,-122
TX000113,P0119,W04,2024-09-15,Issue,-104
TX000114,P0080,W04,2024-11-29,Issue,-103
TX000115,P0105,W02,2024-04-24,Issue,-77
TX000116,P0038,W01,2024-10-20,Issue,-56
TX000117,P0444,W04,2024-06-27,Receipt,22
TX000118,P0236,W03,2024-01-26,Receipt,111
TX000119,P0177,W01,2024-07-24,Issue,-19
TX000120,P0234,W05,2024-07-06,Issue,-149
TX000121,P0235,W03,2024-12-21,Issue,-3
TX000122,P0233,W03,2024-03-28,Issue,-109
TX000123,P0402,W05,2024-05-28,Receipt,197
TX000124,P0355,W04,2024-11-16,Receipt,101
TX000125,P0222,W05,2024-11-13,Receipt,6
TX000126,P0485,W03,2024-04-05,Issue,-55
TX000127,P0261,W04,2024-11-14,Issue,-29
TX000128,P0357,W05,2024-11-09,Issue,-76
TX000129,P0139,W04,2024-09-12,Issue,-1
TX000130,P0004,W01,2024-03-21,Receipt,72
TX000131,P0357,W04,2024-03-02,Issue,-66
TX000132,P0061,W03,2024-11-18,Receipt,8
TX000133,P0124,W05,2024-12-22,Receipt,43
TX000134,P0371,W04,2024-10-11,Issue,-196
TX000135,P0203,W02,2024-05-26,Receipt,190
TX000136,P0012,W05,2024-12-28,Receipt,77
TX000137,P0305,W05,2024-12-18,Issue,-119
TX000138,P0111,W02,2024-08-18,Receipt,157
TX000139,P0284,W04,2024-04-20,Issue,-105
TX000140,P0247,W01,2024-05-12,Issue,-41
TX000141,P0218,W03,2024-07-12,Receipt,164
TX000142,P0290,W01,2024-01-09,Issue,-143
TX000143,P0440,W03,2024-06-17,Receipt,188
TX000144,P0193,W03,2024-06-01,Issue,-72
TX000145,P0262,W05,2024-04-25,Issue,-135
TX000146,P0417,W03,2024-03-24,Issue,-88
TX000147,P0431,W05,2024-11-26,Issue,-81
TX000148,P0152,W02,2024-11-16,Issue,-185
TX000149,P0034,W03,2024-12-02,Issue,-159
TX000150,P0072,W02,2024-02-24,Issue,-20
TX000151,P0016,W01,2024-02-12,Issue,-145
TX000152,P0080,W05,2024-02-22,Issue,-12
TX000153,P0272,W05,2024-11-12,Issue,-121
TX000154,P0372,W04,2024-11-21,Issue,-130
TX000155,P0371,W03,2024-12-21,Receipt,178
TX000156,P0482,W04,2024-10-05,Issue,-44
TX000157,P0084,W04,2024-10-13,Receipt,126
TX000158,P0142,W02,2024-02-03,Issue,-146
TX000159,P0122,W05,2024-08-19,Receipt,184
TX000160,P0315,W02,2024-10-17,Receipt,54
TX000161,P0190,W05,2024-02-17,Issue,-136
TX000162,P0218,W05,2024-01-21,Receipt,92
TX000163,P0450,W04,2024-08-31,Issue,-163
TX000164,P0403,W02,2024-03-07,Receipt,142
TX000165,P0189,W02,2024-10-20,Issue,-34
TX000166,P0450,W05,2024-11-04,Issue,-110
TX000167,P0498,W02,2024-10-17,Receipt,18
TX000168,P0282,W03,2024-08-13,Issue,-105
TX000169,P0217,W02,2024-09-26,Receipt,130
TX000170,P0433,W01,2024-12-01,Issue,-22
TX000171,P0275,W02,2024-11-09,Issue,-37
TX000172,P0380,W03,2024-03-08,Issue,-62
TX000173,P0494,W02,2024-03-13,Receipt,131
TX000174,P0384,W03,2024-02-07,Issue,-58
TX000175,P0305,W01,2024-05-22,Issue,-111
TX000176,P0496,W04,2024-11-16,Receipt,102
TX000177,P0243,W05,2024-01-10,Receipt,127
TX000178,P0209,W05,2024-08-31,Receipt,112
TX000179,P0030,W05,2024-05-18,Receipt,195
TX000180,P0460,W01,2024-04-04,Receipt,61
TX000181,P0057,W01,2024-04-24,Issue,-73
TX000182,P0085,W03,2024-02-26,Receipt,64
TX000183,P0292,W01,2024-10-20,Issue,-182
TX000184,P0168,W04,2024-12-02,Receipt,85
TX000185,P0284,W03,2024-07-14,Issue,-150
TX000186,P0097,W04,2024-04-16,Receipt,128
TX000187,P0174,W04,2024-10-19,Issue,-28
TX000188,P0457,W02,2024-09-30,Receipt,77
TX000189,P0210,W05,2024-10-21,Issue,-103
TX000190,P0216,W04,2024-09-01,Receipt,17
TX000191,P0032,W05,2024-02-09,Issue,-28
TX000192,P0087,W03,2024-01-07,Issue,-32
TX000193,P0442,W05,2024-05-26,Issue,-196
TX000194,P0332,W01,2024-10-19,Issue,-85
TX000195,P0226,W05,2024-09-20,Receipt,61
TX000196,P0154,W01,2024-07-20,Issue,-50
TX000197,P0326,W02,2024-06-12,Issue,-84
TX000198,P0197,W02,2024-11-22,Receipt,158
TX000199,P0087,W04,2024-12-13,Receipt,41
TX000200,P0178,W01,2024-06-17,Receipt,116
TX000201,P0366,W01,2024-02-12,Issue,-85
TX000202,P0079,W05,2024-12-03,Issue,-134
TX000203,P0032,W02,2024-02-23,Issue,-96
TX000204,P0186,W01,2024-08-08,Receipt,181
TX000205,P0064,W03,2024-09-03,Issue,-98
TX000206,P0333,W02,2024-08-01,Issue,-58
TX000207,P0383,W04,2024-05-29,Issue,-1
TX000208,P0233,W04,2024-08-03,Receipt,97
TX000209,P0156,W02,2024-06-01,Issue,-159
TX000210,P0371,W01,2024-10-02,Issue,-148
TX000211,P0353,W04,2024-01-30,Issue,-72
TX000212,P0456,W02,2024-07-17,Issue,-38
TX000213,P0208,W05,2024-05-10,Issue,-56
TX000214,P0375,W01,2024-11-21,Issue,-174
TX000215,P0295,W02,2024-03-20,Issue,-95
TX000216,P0480,W05,2024-11-28,Issue,-138
TX000217,P0208,W03,2024-09-19,Issue,-38
TX000218,P0301,W04,2024-01-29,Receipt,94
TX000219,P0141,W02,2024-01-02,Receipt,75
TX000220,P0404,W01,2024-08-03,Receipt,142
TX000221,P0058,W05,2024-11-05,Issue,-153
TX000222,P0403,W02,2024-10-20,Receipt,87
TX000223,P0203,W02,2024-01-09,Issue,-60
TX000224,P0347,W05,2024-08-17,Issue,-98
TX000225,P0208,W02,2024-04-09,Issue,-60
TX000226,P0393,W01,2024-03-10,Receipt,18
TX000227,P0333,W04,2024-02-23,Issue,-147
TX000228,P0147,W01,2024-12-15,Issue,-74
TX000229,P0478,W01,2024-07-24,Issue,-25
TX000230,P0311,W04,2024-11-29,Issue,-182
TX000231,P0251,W02,2024-07-24,Receipt,151
TX000232,P0375,W05,2024-03-22,Issue,-161
TX000233,P0362,W05,2024-04-05,Receipt,51
TX000234,P0039,W03,2024-03-30,Issue,-31
TX000235,P0145,W01,2024-01-31,Receipt,103
TX000236,P0446,W04,2024-08-08,Issue,-6
TX000237,P0478,W05,2024-03-18,Issue,-27
TX000238,P0477,W04,2024-03-04,Receipt,105
TX000239,P0316,W05,2024-10-31,Issue,-141
TX000240,P0298,W04,2024-06-08,Receipt,134
TX000241,P0386,W01,2024-07-09,Receipt,179
TX000242,P0050,W03,2024-08-27,Issue,-175
TX000243,P0496,W03,2024-11-14,Issue,-168
TX000244,P0067,W01,2024-06-28,Receipt,66
TX000245,P0404,W02,2024-06-15,Receipt,191
TX000246,P0001,W02,2024-03-16,Issue,-194
TX000247,P0133,W04,2024-02-17,Issue,-165
TX000248,P0353,W01,2024-05-10,Issue,-187
TX000249,P0382,W01,2024-08-30,Issue,-166
TX000250,P0423,W04,2024-12-07,Issue,-23
TX000251,P0087,W04,2024-01-26,Receipt,71
TX000252,P0146,W05,2024-10-17,Issue,-69
TX000253,P0068,W03,2024-08-02,Issue,-75
TX000254,P0361,W05,2024-12-24,Issue,-189
TX000255,P0097,W04,2024-01-04,Issue,-153
TX000256,P0474,W04,2024-10-08,Issue,-3
TX000257,P0278,W04,2024-08-16,Receipt,162
TX000258,P0286,W05,2024-12-28,Issue,-161
TX000259,P0090,W03,2024-06-29,Issue,-121
TX000260,P0257,W04,2024-08-28,Issue,-21
TX000261,P0070,W02,2024-06-02,Issue,-115
TX000262,P0081,W03,2024-12-11,Issue,-182
TX000263,P0223,W02,2024-08-09,Receipt,83
TX000264,P0496,W02,2024-04-24,Receipt,192
TX000265,P0307,W03,2024-06-05,Issue,-93
TX000266,P0324,W02,2024-04-05,Receipt,20
TX000267,P0074,W01,2024-03-01,Receipt,106
TX000268,P0189,W05,2024-05-21,Issue,-31
TX000269,P0176,W04,2024-08-08,Issue,-76
TX000270,P0309,W01,2024-06-29,Issue,-43
TX000271,P0359,W04,2024-06-06,Receipt,50
TX000272,P0290,W04,2024-01-22,Issue,-13
TX000273,P0214,W01,2024-04-03,Issue,-169
TX000274,P0500,W04,2024-05-13,Receipt,192
TX000275,P0342,W03,2024-09-17,Receipt,161
TX000276,P0135,W05,2024-02-10,Issue,-81
TX000277,P0039,W04,2024-09-09,Issue,-168
TX000278,P0293,W05,2024-04-09,Issue,-80
TX000279,P0063,W02,2024-03-26,Issue,-37
TX000280,P0439,W04,2024-10-29,Issue,-76
TX000281,P0271,W02,2024-10-05,Issue,-76
TX000282,P0211,W05,2024-11-28,Issue,-125
TX000283,P0074,W01,2024-08-17,Issue,-95
TX000284,P0357,W05,2024-06-29,Issue,-53
TX000285,P0384,W03,2024-06-16,Receipt,95
TX000286,P0101,W03,2024-12-29,Receipt,164
TX000287,P0190,W05,2024-12-01,Issue,-52
TX000288,P0114,W05,2024-01-14,Issue,-87
TX000289,P0324,W02,2024-10-04,Issue,-118
TX000290,P0110,W02,2024-11-19,Issue,-80
TX000291,P0434,W04,2024-08-26,Issue,-136
TX000292,P0425,W02,2024-03-21,Issue,-151
TX000293,P0061,W01,2024-07-13,Receipt,157
TX000294,P0281,W01,2024-07-19,Issue,-12
TX000295,P0156,W02,2024-01-07,Issue,-101
TX000296,P0241,W05,2024-12-17,Issue,-81
TX000297,P0492,W05,2024-08-29,Receipt,94
TX000298,P0210,W01,2024-09-14,Issue,-67
TX000299,P0240,W05,2024-04-17,Receipt,1
TX000300,P0291,W03,2024-06-13,Issue,-16
TX000301,P0339,W05,2024-12-31,Receipt,67
TX000302,P0234,W01,2024-08-23,Issue,-68
TX000303,P0246,W04,2024-07-23,Issue,-181
TX000304,P0437,W02,2024-12-14,Issue,-35
TX000305,P0468,W02,2024-07-23,Receipt,65
TX000306,P0167,W04,2024-05-27,Issue,-70
TX000307,P0481,W03,2024-10-31,Receipt,122
TX000308,P0315,W03,2024-09-05,Receipt,107
TX000309,P0065,W04,2024-11-01,Issue,-104
TX000310,P0367,W05,2024-02-10,Receipt,94
TX000311,P0129,W01,2024-04-28,Issue,-125
TX000312,P0120,W03,2024-03-13,Issue,-70
TX000313,P0233,W03,2024-01-04,Receipt,101
TX000314,P0494,W04,2024-02-12,Receipt,50
TX000315,P0301,W04,2024-07-25,Issue,-153
TX000316,P0019,W03,2024-08-15,Issue,-106
TX000317,P0176,W05,2024-01-31,Issue,-110
TX000318,P0433,W02,2024-01-12,Issue,-87
TX000319,P0201,W02,2024-03-25,Receipt,128
TX000320,P0270,W02,2024-06-20,Receipt,155
TX000321,P0067,W02,2024-11-26,Issue,-133
TX000322,P0158,W03,2024-02-05,Issue,-66
TX000323,P0233,W03,2024-01-25,Issue,-102
TX000324,P0116,W02,2024-11-22,Issue,-62
TX000325,P0193,W02,2024-11-01,Receipt,95
TX000326,P0325,W05,2024-11-23,Issue,-106
TX000327,P0215,W05,2024-02-05,Issue,-40
TX000328,P0006,W05,2024-04-11,Issue,-114
TX000329,P0084,W01,2024-05-10,Issue,-94
TX000330,P0046,W05,2024-03-18,Issue,-53
TX000331,P0042,W05,2024-01-27,Issue,-39
TX000332,P0200,W03,2024-12-11,Receipt,83
TX000333,P0189,W02,2024-01-07,Issue,-4
TX000334,P0031,W05,2024-02-13,Issue,-91
TX000335,P0463,W05,2024-03-12,Receipt,137
TX000336,P0410,W05,2024-04-13,Issue,-93
TX000337,P0442,W03,2024-11-10,Issue,-71
TX000338,P0289,W01,2024-06-28,Issue,-42
TX000339,P0496,W04,2024-05-11,Issue,-133
TX000340,P0308,W02,2024-08-30,Receipt,31
TX000341,P0359,W03,2024-05-09,Receipt,103
TX000342,P0288,W03,2024-08-31,Issue,-190
TX000343,P0054,W03,2024-09-01,Issue,-41
TX000344,P0129,W05,2024-07-31,Issue,-125
TX000345,P0389,W03,2024-08-15,Receipt,29
TX000346,P0406,W04,2024-07-30,Issue,-28
TX000347,P0479,W03,2024-06-06,Issue,-104
TX000348,P0362,W01,2024-12-28,Issue,-38
TX000349,P0377,W02,2024-05-09,Issue,-156
TX000350,P0133,W05,2024-11-30,Issue,-75
TX000351,P0008,W02,2024-04-13,Issue,-9
TX000352,P0070,W02,2024-11-17,Receipt,159
TX000353,P0319,W03,2024-08-04,Issue,-88
TX000354,P0010,W03,2024-04-02,Issue,-141
TX000355,P0238,W05,2024-11-16,Receipt,150
TX000356,P0190,W05,2024-10-07,Issue,-126
TX000357,P0296,W02,2024-08-21,Issue,-84
TX000358,P0102,W05,2024-10-07,Issue,-42
TX000359,P0233,W03,2024-02-17,Issue,-76
TX000360,P0431,W04,2024-01-11,Issue,-101
TX000361,P0336,W03,2024-08-24,Issue,-165
TX000362,P0312,W02,2024-01-19,Receipt,164
TX000363,P0284,W03,2024-08-20,Issue,-104
TX000364,P0056,W01,2024-09-30,Issue,-11
TX000365,P0001,W04,2024-08-29,Receipt,94
TX000366,P0238,W04,2024-01-07,Receipt,144
TX000367,P0308,W03,2024-12-08,Receipt,21
TX000368,P0210,W05,2024-01-04,Issue,-103
TX000369,P0062,W02,2024-05-28,Issue,-88
TX000370,P0231,W05,2024-05-07,Receipt,54
TX000371,P0108,W03,2024-02-10,Issue,-114
TX000372,P0170,W02,2024-03-17,Receipt,102
TX000373,P0175,W04,2024-08-06,Receipt,9
TX000374,P0118,W02,2024-05-25,Receipt,96
TX000375,P0359,W01,2024-10-09,Receipt,40
TX000376,P0293,W03,2024-06-22,Issue,-51
TX000377,P0139,W03,2024-10-28,Issue,-198
TX000378,P0195,W05,2024-03-25,Issue,-82
TX000379,P0029,W01,2024-02-14,Issue,-150
TX000380,P0260,W05,2024-02-12,Issue,-109
TX000381,P0479,W01,2024-07-26,Receipt,101
TX000382,P0139,W04,2024-02-19,Receipt,29
TX000383,P0030,W02,2024-12-01,Issue,-152
TX000384,P0079,W04,2024-08-18,Receipt,159
TX000385,P0079,W02,2024-10-03,Issue,-170
TX000386,P0186,W05,2024-05-07,Issue,-183
TX000387,P0160,W01,2024-10-15,Receipt,2
TX000388,P0157,W02,2024-08-07,Issue,-178
TX000389,P0113,W04,2024-01-30,Receipt,110
TX000390,P0299,W03,2024-07-15,Receipt,70
TX000391,P0476,W03,2024-02-02,Issue,-157
TX000392,P0085,W03,2024-03-15,Receipt,151
TX000393,P0230,W05,2024-09-05,Receipt,40
TX000394,P0039,W04,2024-11-23,Receipt,97
TX000395,P0395,W02,2024-04-04,Issue,-164
TX000396,P0352,W04,2024-07-31,Receipt,28
TX000397,P0155,W04,2024-03-29,Receipt,152
TX000398,P0280,W05,2024-05-25,Issue,-107
TX000399,P0293,W02,2024-10-11,Receipt,183
TX000400,P0321,W02,2024-07-24,Issue,-49
TX000401,P0288,W04,2024-11-28,Issue,-132
TX000402,P0053,W04,2024-10-01,Issue,-176
TX000403,P0129,W03,2024-03-24,Receipt,116
TX000404,P0109,W04,2024-09-14,Issue,-13
TX000405,P0184,W01,2024-09-24,Issue,-172
TX000406,P0418,W03,2024-11-25,Issue,-92
TX000407,P0210,W01,2024-10-18,Issue,-187
TX000408,P0157,W04,2024-12-22,Receipt,22
TX000409,P0006,W04,2024-09-30,Receipt,95
TX000410,P0185,W05,2024-09-25,Receipt,7
TX000411,P0095,W04,2024-02-29,Issue,-103
TX000412,P0014,W05,2024-11-30,Issue,-157
TX000413,P0459,W05,2024-06-27,Issue,-38
TX000414,P0069,W02,2024-04-10,Issue,-92
TX000415,P0190,W05,2024-03-07,Issue,-145
TX000416,P0086,W02,2024-10-05,Issue,-24
TX000417,P0051,W02,2024-05-11,Receipt,119
TX000418,P0013,W03,2024-08-23,Issue,-142
TX000419,P0254,W02,2024-05-05,Issue,-135
TX000420,P0332,W03,2024-01-25,Receipt,65
TX000421,P0105,W03,2024-07-07,Receipt,180
TX000422,P0132,W03,2024-03-09,Issue,-133
TX000423,P0038,W04,2024-02-16,Issue,-139
TX000424,P0132,W05,2024-10-09,Issue,-175
TX000425,P0158,W05,2024-05-04,Receipt,21
TX000426,P0310,W01,2024-07-08,Issue,-28
TX000427,P0065,W01,2024-03-11,Receipt,141
TX000428,P0189,W04,2024-02-18,Issue,-121
TX000429,P0433,W02,2024-11-12,Receipt,162
TX000430,P0415,W01,2024-12-09,Receipt,149
TX000431,P0497,W01,2024-12-08,Issue,-58
TX000432,P0426,W03,2024-10-13,Issue,-135
TX000433,P0434,W01,2024-12-13,Issue,-158
TX000434,P0279,W05,2024-07-11,Issue,-170
TX000435,P0462,W03,2024-09-23,Receipt,95
TX000436,P0227,W04,2024-08-30,Issue,-26
TX000437,P0209,W04,2024-10-20,Issue,-180
TX000438,P0316,W04,2024-12-17,Receipt,59
TX000439,P0416,W03,2024-09-11,Issue,-45
TX000440,P0440,W01,2024-09-11,Issue,-161
TX000441,P0056,W01,2024-04-02,Issue,-88
TX000442,P0100,W05,2024-12-16,Receipt,74
TX000443,P0087,W03,2024-02-28,Issue,-68
TX000444,P0290,W03,2024-05-26,Issue,-35
TX000445,P0495,W05,2024-09-21,Issue,-74
TX000446,P0230,W01,2024-04-05,Receipt,47
TX000447,P0169,W01,2024-12-16,Receipt,77
TX000448,P0295,W02,2024-07-15,Issue,-155
TX000449,P0214,W02,2024-10-05,Issue,-110
TX000450,P0298,W02,2024-12-31,Receipt,83
TX000451,P0322,W02,2024-07-01,Receipt,167
TX000452,P0148,W01,2024-03-25,Receipt,108
TX000453,P0270,W04,2024-10-02,Issue,-92
TX000454,P0166,W03,2024-05-20,Issue,-96
TX000455,P0293,W02,2024-12-30,Issue,-28
TX000456,P0293,W04,2024-02-26,Issue,-20
TX000457,P0372,W02,2024-06-23,Issue,-22
TX000458,P0012,W05,2024-07-23,Issue,-154
TX000459,P0476,W02,2024-06-10,Issue,-184
TX000460,P0440,W05,2024-04-25,Issue,-152
TX000461,P0392,W03,2024-06-29,Issue,-130
TX000462,P0477,W02,2024-12-02,Receipt,67
TX000463,P0405,W05,2024-03-03,Issue,-144
TX000464,P0423,W03,2024-06-06,Issue,-40
TX000465,P0432,W02,2024-07-14,Receipt,155
TX000466,P0146,W02,2024-09-03,Issue,-125
TX000467,P0112,W01,2024-01-04,Issue,-73
TX000468,P0063,W04,2024-06-13,Receipt,32
TX000469,P0211,W04,2024-02-08,Issue,-147
TX000470,P0458,W03,2024-02-05,Issue,-146
TX000471,P0393,W05,2024-05-22,Issue,-85
TX000472,P0343,W04,2024-11-26,Issue,-3
TX000473,P0030,W05,2024-06-12,Issue,-88
TX000474,P0342,W05,2024-12-17,Issue,-189
TX000475,P0315,W04,2024-10-01,Issue,-126
TX000476,P0055,W04,2024-01-16,Issue,-156
TX000477,P0477,W05,2024-11-25,Receipt,149
TX000478,P0198,W05,2024-08-22,Issue,-4
TX000479,P0306,W02,2024-08-22,Issue,-193
TX000480,P0445,W02,2024-09-04,Issue,-18
TX000481,P0419,W05,2024-08-27,Issue,-37
TX000482,P0398,W04,2024-04-18,Issue,-84
TX000483,P0197,W02,2024-05-01,Receipt,30
TX000484,P0302,W05,2024-04-24,Issue,-69
TX000485,P0466,W05,2024-07-30,Receipt,180
TX000486,P0035,W03,2024-09-26,Issue,-192
TX000487,P0478,W03,2024-08-31,Issue,-84
TX000488,P0199,W05,2024-09-08,Issue,-38
TX000489,P0098,W05,2024-08-19,Issue,-145
TX000490,P0358,W05,2024-05-13,Issue,-140
TX000491,P0298,W02,2024-05-26,Receipt,159
TX000492,P0437,W01,2024-09-01,Issue,-84
TX000493,P0019,W02,2024-04-16,Receipt,11
TX000494,P0173,W05,2024-09-18,Receipt,95
TX000495,P0310,W02,2024-08-22,Receipt,24
TX000496,P0192,W01,2024-01-05,Receipt,114
TX000497,P0459,W01,2024-07-12,Receipt,121
TX000498,P0425,W01,2024-02-17,Receipt,26
TX000499,P0401,W05,2024-07-16,Receipt,182
TX000500,P0267,W04,2024-05-21,Receipt,143
TX000501,P0127,W04,2024-03-18,Issue,-139
TX000502,P0109,W04,2024-12-15,Receipt,156
TX000503,P0348,W03,2024-10-27,Issue,-41
TX000504,P0131,W04,2024-06-16,Receipt,62
TX000505,P0394,W05,2024-08-03,Receipt,35
TX000506,P0280,W05,2024-06-06,Issue,-171
TX000507,P0481,W03,2024-03-15,Receipt,41
TX000508,P0251,W05,2024-03-18,Issue,-184
TX000509,P0312,W05,2024-02-17,Receipt,119
TX000510,P0379,W03,2024-08-25,Issue,-127
TX000511,P0282,W03,2024-01-08,Receipt,161
TX000512,P0325,W03,2024-06-25,Receipt,182
TX000513,P0152,W05,2024-05-14,Issue,-144
TX000514,P0172,W03,2024-09-11,Issue,-77
TX000515,P0154,W01,2024-03-24,Issue,-51
TX000516,P0327,W02,2024-03-04,Issue,-149
TX000517,P0332,W03,2024-05-12,Issue,-112
TX000518,P0185,W03,2024-06-25,Issue,-146
TX000519,P0487,W03,2024-07-16,Receipt,142
TX000520,P0236,W03,2024-01-15,Issue,-19
TX000521,P0292,W02,2024-02-28,Issue,-72
TX000522,P0017,W05,2024-03-30,Receipt,118
TX000523,P0208,W04,2024-04-18,Issue,-140
TX000524,P0479,W01,2024-01-21,Receipt,69
TX000525,P0274,W05,2024-12-06,Issue,-92
TX000526,P0096,W03,2024-01-09,Issue,-192
TX000527,P0322,W05,2024-12-29,Receipt,51
TX000528,P0113,W01,2024-02-25,Issue,-166
TX000529,P0138,W05,2024-07-20,Receipt,162
TX000530,P0496,W05,2024-11-13,Receipt,69
TX000531,P0445,W03,2024-12-10,Issue,-75
TX000532,P0295,W02,2024-03-25,Issue,-24
TX000533,P0398,W04,2024-08-13,Issue,-181
TX000534,P0372,W05,2024-06-07,Receipt,144
TX000535,P0175,W02,2024-07-12,Issue,-168
